"","area","heat"
"851","010595974083","315.036882681054"
"852","010595974094","304.358920483103"
"853","010595974095","335.573796887793"
"854","010595987008","324.903550021144"
"855","010595987016","309.948137990678"
"856","010595987033","300.18029651201"
"857","010595987037","307.255836774523"
"858","010595987042","328.325824078779"
"859","010595987049","317.052229326656"
"860","010595987062","302.508566176713"
"861","010595987073","311.952882352509"
"862","010595987081","320.050021637726"
"863","010595987082","320.22995661586"
"864","010595987084","321.312302297131"
"865","010595987086","302.826533840795"
"866","010595987090","326.047687976633"
"867","010595987093","301.736658173521"
"868","010595987097","335.767240341283"
"869","010595987098","323.650229691055"
"870","010595990102","304.073975307267"
"871","010595990109","331.656332539776"
"872","010595990112","315.469979917125"
"873","010595990121","322.375160202246"
"875","010595990142","314.103571878296"
"877","010595990148","326.266240180669"
"878","010595990152","303.943471726791"
"879","010595990153","315.899305328779"
"880","010595990154","300.782063044303"
"881","010595990155","334.935449020594"
"883","010595990164","301.684787358316"
"884","010595990165","318.478219558203"
"885","010595990167","332.580428321245"
"886","010595990168","313.396751249582"
"887","010595993010","319.298774970707"
"888","010595993023","303.170091277149"
"889","010595993039","315.076659581545"
"890","010595993041","303.523758562042"
"891","010595993044","310.396687748441"
"892","010595993057","307.598476184509"
"893","010595993077","305.611203208626"
"894","010595993079","306.505900570819"
"895","010595993092","300.111907282531"
"896","010595996001","323.681909188915"
"897","010595996005","325.705747262911"
"898","010595996009","302.402285339693"
"899","010595996020","303.405055272479"
"900","010595996024","312.054613609776"
"901","010595996035","320.497673443572"
"902","010595996050","324.342238512351"
"903","010595996051","299.645288665883"
"904","010595996053","313.307016236624"
"905","010595996058","294.891925612397"
"906","010595996064","307.459380619205"
"907","010595996085","322.046386061457"
"908","010595996087","312.782328450367"
"909","010595996088","314.536684395299"
"910","010595996096","329.84971208104"
"911","010600004004","314.618874940601"
"912","010600005005","315.661907937733"
"913","010600019019","309.119887627257"
"914","010600039039","306.950105725357"
"915","010600044044","318.091122453015"
"916","010600063063","314.818181399717"
"917","010600092092","318.598458938567"
"918","010605005003","294.273934966079"
"919","010605005009","316.000340127909"
"921","010605005021","291.556731950767"
"922","010605005023","293.914663998236"
"923","010605005027","327.001389156168"
"924","010605005031","324.116033867045"
"925","010605005033","328.389501504607"
"926","010605005035","309.35891243789"
"927","010605005037","319.343694646974"
"928","010605005040","321.975714463346"
"930","010605005095","314.868576839423"
"931","010605005099","302.436818827422"
"932","010605024012","311.32530343232"
"934","010605024026","322.121587361156"
"935","010605024072","327.997775099114"
"936","010605024080","300.756299199796"
"938","010605024087","320.127998052763"
"939","010605024089","318.800790654784"
"940","010605034043","307.069826265005"
"941","010605034046","314.248290465265"
"942","010605034058","319.7477014242"
"943","010605034065","309.696690153947"
"944","010605034076","318.180123241106"
"945","010605034085","314.078834040799"
"946","010605043002","321.079385129992"
"947","010605043034","309.109307101308"
"948","010605043036","310.657478208999"
"949","010605043036","310.657478208999"
"950","010605043036","310.657478208999"
"951","010605043036","310.657478208999"
"952","010605043036","310.657478208999"
"953","010605043036","310.657478208999"
"954","010605043036","310.657478208999"
"955","010605043036","310.657478208999"
"956","010605043054","312.223037222"
"957","010605043064","340.7379788188"
"958","010605043073","319.250354079565"
"959","010605048042","294.655276752706"
"960","010605048045","308.834915967454"
"961","010605048047","312.851701624861"
"962","010605048066","307.802734898883"
"963","010605048077","312.575393822038"
"964","010605048082","304.092738551013"
"965","010605048084","310.403981024989"
"966","010605048094","323.87507372504"
"967","010605048100","297.369665553045"
"968","010605053007","324.272546907537"
"969","010605053008","293.588162503506"
"970","010605053022","315.403645721558"
"971","010605053029","305.734080042601"
"972","010605053041","319.261928330127"
"973","010605053051","301.555684998144"
"974","010605053053","319.808452812404"
"975","010605053057","319.752867526689"
"976","010605053062","315.732160101767"
"977","010605053074","321.759860215469"
"978","010605053088","315.092646779733"
"979","010605053101","313.294053347972"
"980","010605063011","303.632904039873"
"981","010605063016","305.697747107544"
"982","010605063028","323.067765319862"
"983","010605063038","331.528219399752"
"984","010605063052","287.269827135494"
"985","010605063068","302.730227603335"
"987","010605086010","318.398556169022"
"988","010605086015","311.981374849743"
"990","010605086020","316.695035749758"
"991","010605086024","306.039964755853"
"992","010605086025","319.019995103608"
"993","010605086030","318.419489886449"
"994","010605086048","308.641185228895"
"995","010605086049","302.861186265193"
"996","010605086050","287.378704717357"
"997","010605086059","303.202445909363"
"998","010605086060","313.63992684525"
"999","010605086061","297.84085100692"
